sample	speciesID	freq
21MD0033	ONCKET	3
21MD0033	ONCKIS	0
21MD0033	ONCMYK	8
21MD0033	ONCNER	0
21MD0033	ONCTSH	0
21MD0033	SALTRU	0
21MD0034	ONCGOR	0
21MD0034	ONCKET	2
21MD0034	ONCKIS	40
21MD0034	ONCMYK	0
21MD0034	ONCNER	0
21MD0034	ONCTSH	0
21MD0034	SALTRU	0
21MD0035	ONCGOR	0
21MD0035	ONCKET	0
21MD0035	ONCKIS	7
21MD0035	ONCMYK	0
21MD0035	ONCNER	0
21MD0035	ONCTSH	11
21MD0035	SALTRU	0
21MD0036	ONCGOR	0
21MD0036	ONCKET	4
21MD0036	ONCKIS	0
21MD0036	ONCMYK	0
21MD0036	ONCNER	0
21MD0036	ONCTSH	11
21MD0036	SALTRU	0
21MD0037	ONCGOR	0
21MD0037	ONCKET	4
21MD0037	ONCKIS	0
21MD0037	ONCMYK	6
21MD0037	ONCNER	0
21MD0037	ONCTSH	0
21MD0037	SALTRU	0
21MD0038	ONCGOR	0
21MD0038	ONCKET	0
21MD0038	ONCKIS	0
21MD0038	ONCMYK	0
21MD0038	ONCNER	0
21MD0038	ONCTSH	0
21MD0038	SALTRU	0
21MD0039	ONCGOR	0
21MD0039	ONCKET	6
21MD0039	ONCKIS	9
21MD0039	ONCMYK	16
21MD0039	ONCNER	0
21MD0039	ONCTSH	5
21MD0039	SALTRU	0
21MD0040	ONCGOR	0
21MD0040	ONCKET	5
21MD0040	ONCKIS	7
21MD0040	ONCMYK	0
21MD0040	ONCNER	0
21MD0040	ONCTSH	0
21MD0040	SALTRU	0
21MD0041	ONCGOR	0
21MD0041	ONCKET	4
21MD0041	ONCKIS	0
21MD0041	ONCMYK	13
21MD0041	ONCNER	0
21MD0041	ONCTSH	48
21MD0041	SALTRU	0
21MD0042	ONCGOR	0
21MD0042	ONCKET	14
21MD0042	ONCKIS	10
21MD0042	ONCMYK	10
21MD0042	ONCNER	0
21MD0042	ONCTSH	142
21MD0042	SALTRU	0
21MD0043	ONCGOR	0
21MD0043	ONCKET	19
21MD0043	ONCKIS	81
21MD0043	ONCMYK	24
21MD0043	ONCNER	0
21MD0043	ONCTSH	58
21MD0043	SALTRU	0
21MD0044	ONCGOR	0
21MD0044	ONCKET	3
21MD0044	ONCKIS	0
21MD0044	ONCMYK	0
21MD0044	ONCNER	0
21MD0044	ONCTSH	0
21MD0044	SALTRU	0
21MD0045	ONCGOR	0
21MD0045	ONCKET	78
21MD0045	ONCKIS	1059
21MD0045	ONCMYK	51
21MD0045	ONCNER	0
21MD0045	ONCTSH	214
21MD0045	SALTRU	0
21MD0046	ONCGOR	0
21MD0046	ONCKET	0
21MD0046	ONCKIS	0
21MD0046	ONCMYK	0
21MD0046	ONCNER	0
21MD0046	ONCTSH	0
21MD0046	SALTRU	0
21MD0047	ONCGOR	0
21MD0047	ONCKET	0
21MD0047	ONCKIS	369
21MD0047	ONCMYK	0
21MD0047	ONCNER	0
21MD0047	ONCTSH	0
21MD0047	SALTRU	0
21MD0049	ONCGOR	0
21MD0049	ONCKET	4
21MD0049	ONCKIS	58
21MD0049	ONCMYK	4
21MD0049	ONCNER	0
21MD0049	ONCTSH	45
21MD0049	SALTRU	0
21MD0050	ONCGOR	0
21MD0050	ONCKET	79
21MD0050	ONCKIS	432
21MD0050	ONCMYK	113
21MD0050	ONCNER	0
21MD0050	ONCTSH	408
21MD0050	SALTRU	0
21MD0051	ONCGOR	0
21MD0051	ONCKET	2
21MD0051	ONCKIS	0
21MD0051	ONCMYK	7
21MD0051	ONCNER	0
21MD0051	ONCTSH	9
21MD0051	SALTRU	0
21MD0052	ONCGOR	0
21MD0052	ONCKET	3
21MD0052	ONCKIS	7
21MD0052	ONCMYK	0
21MD0052	ONCNER	0
21MD0052	ONCTSH	5
21MD0052	SALTRU	0
21MD0053	ONCGOR	0
21MD0053	ONCKET	4
21MD0053	ONCKIS	47740
21MD0053	ONCMYK	16
21MD0053	ONCNER	0
21MD0053	ONCTSH	13
21MD0053	SALTRU	0
21MD0054	ONCGOR	0
21MD0054	ONCKET	2836
21MD0054	ONCKIS	0
21MD0054	ONCMYK	8
21MD0054	ONCNER	0
21MD0054	ONCTSH	0
21MD0054	SALTRU	0
21MD0055	ONCGOR	0
21MD0055	ONCKET	6
21MD0055	ONCKIS	16489
21MD0055	ONCMYK	10
21MD0055	ONCNER	0
21MD0055	ONCTSH	13446
21MD0055	SALTRU	0
21MD0056	ONCGOR	0
21MD0056	ONCKET	0
21MD0056	ONCKIS	11
21MD0056	ONCMYK	7
21MD0056	ONCNER	0
21MD0056	ONCTSH	58329
21MD0056	SALTRU	0
21MD0057	ONCGOR	0
21MD0057	ONCKET	3
21MD0057	ONCKIS	8
21MD0057	ONCMYK	0
21MD0057	ONCNER	0
21MD0057	ONCTSH	0
21MD0057	SALTRU	0
21MD0058	ONCGOR	0
21MD0058	ONCKET	57
21MD0058	ONCKIS	634
21MD0058	ONCMYK	6
21MD0058	ONCNER	0
21MD0058	ONCTSH	0
21MD0058	SALTRU	0
21MD0059	ONCGOR	17
21MD0059	ONCKET	20
21MD0059	ONCKIS	31
21MD0059	ONCMYK	0
21MD0059	ONCNER	0
21MD0059	ONCTSH	15
21MD0059	SALTRU	0
21MD0060	ONCGOR	0
21MD0060	ONCKET	8
21MD0060	ONCKIS	6
21MD0060	ONCMYK	9
21MD0060	ONCNER	0
21MD0060	ONCTSH	18
21MD0060	SALTRU	0
21MD0061	ONCGOR	0
21MD0061	ONCKET	0
21MD0061	ONCKIS	0
21MD0061	ONCMYK	5
21MD0061	ONCNER	0
21MD0061	ONCTSH	0
21MD0061	SALTRU	0
21MD0062	ONCGOR	0
21MD0062	ONCKET	52
21MD0062	ONCKIS	123
21MD0062	ONCMYK	31
21MD0062	ONCNER	0
21MD0062	ONCTSH	61
21MD0062	SALTRU	0
21MD0063	ONCGOR	0
21MD0063	ONCKET	0
21MD0063	ONCKIS	6
21MD0063	ONCMYK	0
21MD0063	ONCNER	0
21MD0063	ONCTSH	14
21MD0063	SALTRU	0
21MD0064	ONCGOR	0
21MD0064	ONCKET	0
21MD0064	ONCKIS	0
21MD0064	ONCMYK	15
21MD0064	ONCNER	0
21MD0064	ONCTSH	7
21MD0064	SALTRU	0
21MD0065	ONCGOR	0
21MD0065	ONCKET	0
21MD0065	ONCKIS	0
21MD0065	ONCMYK	0
21MD0065	ONCNER	0
21MD0065	ONCTSH	6
21MD0065	SALTRU	0
21MD0066	ONCGOR	0
21MD0066	ONCKET	0
21MD0066	ONCKIS	15
21MD0066	ONCMYK	0
21MD0066	ONCNER	0
21MD0066	ONCTSH	22
21MD0066	SALTRU	0
21MD0067	ONCGOR	0
21MD0067	ONCKET	5
21MD0067	ONCKIS	1276
21MD0067	ONCMYK	0
21MD0067	ONCNER	0
21MD0067	ONCTSH	0
21MD0067	SALTRU	0
21MD0068	ONCGOR	0
21MD0068	ONCKET	3
21MD0068	ONCKIS	103
21MD0068	ONCMYK	0
21MD0068	ONCNER	0
21MD0068	ONCTSH	7
21MD0068	SALTRU	0
21MD0069	ONCGOR	0
